n_features,method,split,percent_rmse,rmse,mae,r2
20,NNLS,test,22.00009971499165,39.06657568904239,29.97215038144667,0.7399505865083791
20,NNLS,train,24.053771820385002,42.03881474131791,34.812890109773406,0.6625468966686637
20,LINEAR,test,21.01935425296811,37.3250214542805,31.05338478088379,0.7626193761825562
20,LINEAR,train,21.99984736795752,38.44916775401728,31.203353881835938,0.7177159190177917
20,XGB,test,24.911280444222857,44.23609145380472,32.77884292602539,0.6665745973587036
20,XGB,train,7.536051944575714,13.17076980461255,11.13613224029541,0.9668766260147095
30,NNLS,test,19.426171627054615,34.495934747945974,28.474437388528457,0.7972405881529623
30,NNLS,train,24.87986797987287,43.48258429507219,34.5761026273791,0.6389700794449861
30,LINEAR,test,20.874956348675102,37.06860754114002,30.18431854248047,0.7658696174621582
30,LINEAR,train,21.554295903182215,37.670476760135884,30.04229736328125,0.7290340662002563
30,XGB,test,23.4040248630902,41.559589301274684,31.704931259155273,0.7057017683982849
30,XGB,train,10.041197543724557,17.549016697825177,14.650036811828613,0.941194474697113
40,NNLS,test,19.79861225009904,35.15729446805326,28.63128245959593,0.7893914100438083
40,NNLS,train,25.071174584358246,43.8169311478155,35.77035622643168,0.6333966619910095
40,LINEAR,test,20.46557417254579,36.341649028374626,29.75701904296875,0.7749627232551575
40,LINEAR,train,21.501831378290188,37.57878442768605,29.951250076293945,0.7303515672683716
40,XGB,test,24.89226536605071,44.202325516364944,34.76492691040039,0.6670834422111511
40,XGB,train,3.9085483928710723,6.830976157183523,5.859835147857666,0.9910899996757507
50,NNLS,test,16.08653651160311,28.565593081236877,22.278179048178828,0.8609625871075892
50,NNLS,train,23.462921055535034,41.00618393277904,31.903160765371343,0.6789215102969275
50,LINEAR,test,21.148600940788153,37.55453066458826,31.326671600341797,0.7596911191940308
50,LINEAR,train,22.37743602392468,39.10908004033798,31.7868709564209,0.7079429626464844
50,XGB,test,24.700684974400094,43.86212751872337,33.08961486816406,0.6721882224082947
50,XGB,train,5.4595009398075005,9.541578356293936,7.993927478790283,0.9826158881187439
60,NNLS,test,18.655294980375718,33.12705409492446,25.900273017627843,0.8130132551746316
60,NNLS,train,23.56927885260883,41.192065621558115,31.78571889477492,0.6760040048244509
60,LINEAR,test,21.28920654381987,37.80421041623952,31.503019332885742,0.756485104560852
60,LINEAR,train,22.345751678393295,39.05370525995261,31.63166618347168,0.7087694406509399
60,XGB,test,24.462639497221257,43.439419359573336,30.881458282470703,0.6784761548042297
60,XGB,train,0.49999592083038935,0.8738436551306307,0.7196342945098877,0.9998542070388794
70,NNLS,test,18.234216925056884,32.37932667858469,25.365104333437824,0.8213591344380726
70,NNLS,train,24.993845688150394,43.681783314614655,35.03107458023057,0.6356546584691243
70,LINEAR,test,21.42487686929994,38.045126371520965,31.73949432373047,0.7533714771270752
70,LINEAR,train,22.27844335588058,38.936070399117064,31.551956176757812,0.7105212211608887
70,XGB,test,25.185951849261645,44.72383793557413,32.71762466430664,0.6591813564300537
70,XGB,train,4.73184200391982,8.269847692634672,6.976112365722656,0.9869410991668701
80,NNLS,test,19.105571847935135,33.92663116754781,26.727967493920307,0.8038778424786643
80,NNLS,train,24.473138462178365,42.77174247900016,35.11237662377486,0.6506776385300974
80,LINEAR,test,21.22494553081217,37.69009921851576,31.061595916748047,0.7579529881477356
80,LINEAR,train,22.20312063415769,38.80442876021048,31.4553279876709,0.7124753594398499
80,XGB,test,23.39852603490258,41.54982478245997,31.553552627563477,0.705839991569519
80,XGB,train,4.776576128809094,8.348029592873763,6.771295547485352,0.9866929650306702
90,NNLS,test,19.833965745150767,35.220073273977,27.020033959389774,0.7886385898542287
90,NNLS,train,24.302919293939745,42.47425017166314,34.25463258285338,0.6555200558365848
90,LINEAR,test,21.072795429587735,37.41991937739761,30.917753219604492,0.7614107728004456
90,LINEAR,train,22.15120325092603,38.713692668098716,31.226572036743164,0.7138184309005737
90,XGB,test,24.22138928192566,43.011020401480394,34.61307907104492,0.6847866177558899
90,XGB,train,10.771947698692545,18.82614988991999,15.784676551818848,0.9323238730430603
100,NNLS,test,19.238554278390787,34.16277410562588,27.27787749456446,0.8011381634162928
100,NNLS,train,23.830501947677977,41.64860563456593,33.93899120864111,0.6687823794260891
100,LINEAR,test,21.175298240073737,37.60193827076937,31.033037185668945,0.7590839862823486
100,LINEAR,train,22.045696531820287,38.5292984096194,31.086721420288086,0.7165380716323853
100,XGB,test,26.670906038878865,47.360738494888885,36.342552185058594,0.6178075671195984
100,XGB,train,8.996208825816849,15.722688276364897,13.247654914855957,0.9527974128723145
110,NNLS,test,18.25113457999494,32.40936812638178,26.67867904083005,0.8210274956821042
110,NNLS,train,24.092155836500833,42.10589854649285,34.32324325741386,0.6614690498985646
110,LINEAR,test,21.41833856447394,38.03351600685571,31.392589569091797,0.7535220384597778
110,LINEAR,train,21.950934109577304,38.36368197562067,30.984786987304688,0.7189697623252869
110,XGB,test,25.63970786968044,45.52959309785505,36.398956298828125,0.6467902064323425
