n_features,cluster,method,split,percent_rmse,rmse,mae,r2
20,0,NNLS,test,12.588280443659611,27.34877685840775,22.118427556686434,0.5624863558032324
20,0,NNLS,train,21.42253750292433,41.9106109492941,32.99810165374647,0.24759901269055762
20,0,LINEAR,test,17.563620721410082,38.15799513566505,30.83742904663086,0.1482994556427002
20,0,LINEAR,train,17.115316414241533,33.48405236370461,29.28390121459961,0.5197389125823975
20,0,XGB,test,14.813950618385304,32.18417572336112,28.920669555664062,0.39410048723220825
20,0,XGB,train,0.8999707850889705,1.760684299628174,1.4629513025283813,0.9986721277236938
20,0,MLP,test,40.01701179246822,86.93930286592192,72.486083984375,-3.421280860900879
20,0,MLP,train,54.400518749562735,106.42805393345544,89.70418548583984,-3.851919651031494
20,1,NNLS,test,16.56190764187332,20.021193462877363,13.152539639297576,0.9368528006920799
20,1,NNLS,train,23.025074038687336,36.95344851153138,27.170076601671784,0.7968281637415422
20,1,LINEAR,test,24.64044963217877,29.787100602520674,20.358556747436523,0.8602246642112732
20,1,LINEAR,train,19.832235241077136,31.829191194709534,24.572450637817383,0.8492682576179504
20,1,XGB,test,32.23343721336763,38.96603557857711,27.180461883544922,0.760807991027832
20,1,XGB,train,2.306397877934485,3.7015887586790224,1.1989423036575317,0.9979614019393921
20,1,MLP,test,34.087780949964966,41.207696110678164,28.484365463256836,0.7324956655502319
20,1,MLP,train,33.84680909161845,54.32148947470053,41.316444396972656,0.5609672665596008
30,0,NNLS,test,13.410815283001638,29.135781992279046,23.0214650152443,0.5034429600294068
30,0,NNLS,train,24.20789544652262,47.35982783654373,38.343088587879826,0.039225200843215347
30,0,LINEAR,test,16.922122897249128,36.76430352491224,28.508296966552734,0.20937877893447876
30,0,LINEAR,train,12.71629380125102,24.87789516757296,20.369800567626953,0.7348884344100952
30,0,XGB,test,13.673999050985842,29.707564149148634,25.990070343017578,0.48376208543777466
30,0,XGB,train,0.0013391109390512746,0.002619809048151306,0.0020998441614210606,1.0
30,0,MLP,test,95.76285717541107,208.05041831849317,189.96546936035156,-24.31937599182129
30,0,MLP,train,76.8972791188762,150.44025236368756,126.01322174072266,-8.69459056854248
30,1,NNLS,test,23.61378343938795,28.54599463138898,20.281648772482963,0.8716297081020035
30,1,NNLS,train,22.056518706285825,35.398992723622484,26.093403152971828,0.8135615995821285
30,1,LINEAR,test,27.06542779107454,32.718583974626526,23.76780891418457,0.8313590288162231
30,1,LINEAR,train,20.000533641155695,32.099297004203414,25.259471893310547,0.8466991186141968
30,1,XGB,test,26.857059188764744,32.46669342019025,21.765727996826172,0.833945631980896
30,1,XGB,train,2.188829084733832,3.512900012714369,1.0929230451583862,0.9981639385223389
30,1,MLP,test,45.93888335301405,55.53413839561887,42.68048095703125,0.5141589641571045
30,1,MLP,train,31.39069688464795,50.37962089150607,36.661624908447266,0.6223727464675903
40,0,NNLS,test,11.577916080834399,25.153701079133093,20.31376940843941,0.6298995809018408
40,0,NNLS,train,26.56268115618548,51.96668207746479,41.38118819482463,-0.1567815459120081
40,0,LINEAR,test,14.62721493606505,31.778481511976484,28.513019561767578,0.409279465675354
40,0,LINEAR,train,9.681656965452223,18.94099419213068,15.223833084106445,0.8463237285614014
40,0,XGB,test,12.383445715100375,26.903761408577935,23.476839065551758,0.5766088366508484
40,0,XGB,train,0.7677415565917399,1.5019937616414276,1.228906273841858,0.9990336298942566
40,0,MLP,test,94.67386907276166,205.6845278575907,189.27955627441406,-23.746801376342773
40,0,MLP,train,81.68603844696206,159.80888243852405,141.91302490234375,-9.939643859863281
40,1,NNLS,test,22.954992443084176,27.74960195285163,19.842842172469286,0.8786924909527074
40,1,NNLS,train,21.69949193022271,34.8259925862801,25.57962451751555,0.8195484711620162
40,1,LINEAR,test,28.178295049300576,34.06389582862532,24.942428588867188,0.8172056674957275
40,1,LINEAR,train,19.49608816222684,31.289701343353375,25.29491424560547,0.8543345928192139
40,1,XGB,test,29.895116159667527,36.13930938212831,25.5689640045166,0.794252872467041
40,1,XGB,train,0.7328732455085241,1.1762044151464583,0.9555275440216064,0.9997941851615906
40,1,MLP,test,57.39715626700973,69.3857008920516,48.20394515991211,0.24157243967056274
40,1,MLP,train,52.311194843179806,83.95538889326134,70.16873931884766,-0.04869866371154785
50,0,NNLS,test,10.760197748097363,23.377160088078327,18.72305204548253,0.68033190892655
50,0,NNLS,train,24.520852336917173,47.972090248288204,39.36766730818284,0.01422305396154
50,0,LINEAR,test,17.286338750040287,37.55558380587366,33.154701232910156,0.17497926950454712
50,0,LINEAR,train,10.064299352139932,19.68958787292077,15.826653480529785,0.833936333656311
50,0,XGB,test,15.473237367445481,33.61651481577731,29.799657821655273,0.33897000551223755
50,0,XGB,train,0.7009991855598017,1.3714203622123842,1.1105890274047852,0.9991943836212158
50,0,MLP,test,95.96840528999002,208.49698364125078,196.32070922851562,-24.428184509277344
50,0,MLP,train,75.56180384265565,147.82755605138374,119.68687438964844,-8.3607816696167
50,1,NNLS,test,24.4724877869544,29.584056564941527,19.663826260776464,0.8621237008761238
50,1,NNLS,train,21.949650678872484,35.22747787238195,26.470623806228065,0.8153638817854422
50,1,LINEAR,test,28.64978029423076,34.63386020155619,24.34476661682129,0.8110373616218567
50,1,LINEAR,train,19.26831911293836,30.92414977894754,24.86092758178711,0.857718288898468
50,1,XGB,test,32.85441874213381,39.71672152569998,28.98800277709961,0.7515031099319458
50,1,XGB,train,1.623746963197793,2.605987268465082,2.1238296031951904,0.9989895820617676
50,1,MLP,test,51.25278779913657,61.95795811853995,47.434635162353516,0.3952605128288269
50,1,MLP,train,28.402537956279474,45.583858805434076,35.030208587646484,0.6908453702926636
60,0,NNLS,test,11.88878728321685,25.82908698141848,22.49879434709387,0.6097581018662734
60,0,NNLS,train,23.223155830596024,45.433303542966314,38.51307036578112,0.11580102746902687
60,0,LINEAR,test,19.148255887823215,41.60070788441436,36.08510971069336,-0.012318730354309082
60,0,LINEAR,train,9.903046618899253,19.374116348296862,15.445754051208496,0.8392151594161987
60,0,XGB,test,16.525719189969372,35.90309324406725,30.780242919921875,0.245985746383667
60,0,XGB,train,5.125924042394083,10.028252174472113,8.314423561096191,0.9569223523139954
60,0,MLP,test,28.746207472945635,62.45282008306851,51.768707275390625,-1.2814970016479492
60,0,MLP,train,50.951678453481954,99.68081384317395,76.72584533691406,-3.2562241554260254
60,1,NNLS,test,23.46932531633959,28.37136353868061,18.792419646762124,0.8731955231941062
60,1,NNLS,train,21.848876732305275,35.06574354572927,27.424333198959935,0.8170553709143085
60,1,LINEAR,test,28.331555485154276,34.249167773306006,23.37675666809082,0.815211832523346
60,1,LINEAR,train,19.242879637956953,30.883321405179608,25.054967880249023,0.8580937385559082
60,1,XGB,test,35.6752648394871,43.12675777667648,27.26824378967285,0.7069998979568481
60,1,XGB,train,2.2909188591209424,3.6767461404197204,3.0245165824890137,0.9979887008666992
60,1,MLP,test,55.13266439673199,66.64822458133263,49.782981872558594,0.30023640394210815
60,1,MLP,train,28.5899278436971,45.884604963497836,35.537235260009766,0.6867525577545166
70,0,NNLS,test,10.751823917489697,23.35896745042903,20.231924686172363,0.6808292612831843
70,0,NNLS,train,24.12311066638983,47.193956639722074,38.409463871092754,0.04594337514675195
70,0,LINEAR,test,15.151198786489509,32.91686712920235,26.424407958984375,0.36619919538497925
70,0,LINEAR,train,7.120765115072794,13.930918144425359,10.849090576171875,0.9168694019317627
70,0,XGB,test,13.545852199517268,29.429157605728584,22.780475616455078,0.4933927059173584
70,0,XGB,train,1.1093777364379198,2.170363744318866,1.813071846961975,0.9979822635650635
70,0,MLP,test,101.00039479923343,219.4292756932174,215.49923706054688,-27.164688110351562
70,0,MLP,train,102.13498866633614,199.8147872875028,193.88299560546875,-16.10238265991211
70,1,NNLS,test,24.84781478727223,30.037778119710126,19.111109030038588,0.8578621378400492
70,1,NNLS,train,22.124080361513386,35.50742391231749,27.465290485621246,0.8124176857369599
70,1,LINEAR,test,28.77656644868199,34.787128181403176,22.683568954467773,0.8093612194061279
70,1,LINEAR,train,19.04486440833336,30.565522401358834,25.014644622802734,0.8609992265701294
70,1,XGB,test,35.720857557639526,43.18187344634248,31.896406173706055,0.7062505483627319
70,1,XGB,train,0.4094955896543118,0.6572084920362969,0.5466089248657227,0.9999357461929321
70,1,MLP,test,119.25231020620535,144.16054147633463,120.58013916015625,-2.273911714553833
70,1,MLP,train,111.8159140366604,179.4558234723103,159.9088897705078,-3.791469097137451
80,0,NNLS,test,10.434152284985714,22.668807215241912,19.52804062242352,0.6994109721055332
80,0,NNLS,train,22.388398569553384,43.800201638027154,36.7706552565644,0.17822373637304112
80,0,LINEAR,test,15.78970957032792,34.30406921983254,27.78933334350586,0.3116535544395447
80,0,LINEAR,train,12.912044136107534,25.260857089158836,20.39455223083496,0.7266635894775391
80,0,XGB,test,15.386009915203411,33.42700806479788,27.467254638671875,0.3464018702507019
80,0,XGB,train,0.029727528162429073,0.05815832354732367,0.045642558485269547,0.9999985694885254
80,0,MLP,test,101.32627147582724,220.13726186745396,216.2194366455078,-27.34672737121582
80,0,MLP,train,102.52371623687591,200.57528589659296,194.68458557128906,-16.232812881469727
80,1,NNLS,test,25.460520383420516,30.77845954008332,19.70064085302899,0.8507659489162891
80,1,NNLS,train,21.80279340985825,34.991783406429604,27.298185822789403,0.8178262851801805
80,1,LINEAR,test,29.467920834627158,35.62288576511419,22.490131378173828,0.800091028213501
80,1,LINEAR,train,18.542098072007672,29.758621633460066,24.090946197509766,0.8682413101196289
80,1,XGB,test,34.32570387564248,41.49531400031063,29.12333106994629,0.7287484407424927
80,1,XGB,train,0.6250090123190188,1.0030907313117445,0.8235691785812378,0.9998502731323242
80,1,MLP,test,119.07250917891132,143.9431854066041,120.93634796142578,-2.2640466690063477
80,1,MLP,train,111.72622812938839,179.31188458416526,159.78770446777344,-3.783785820007324
90,0,NNLS,test,12.143557149554985,26.382589443959937,22.812147071774007,0.5928535765155831
90,0,NNLS,train,22.376779684787405,43.777470691283554,37.112099023205346,0.17907646785276243
90,0,LINEAR,test,16.504967145708182,35.85800821196972,28.46463394165039,0.24787825345993042
90,0,LINEAR,train,12.349118507927766,24.159560989534377,19.464597702026367,0.7499772906303406
90,0,XGB,test,14.27943772986584,31.022915153938023,24.937664031982422,0.4370354413986206
