n_features,method,rmse,percent_rmse,mae,r2
20,Linear Regression,5.149182626193739,39.788086198183414,4.144377536773682,0.7978264020519692
20,XGBoost,6.644121793051603,51.33958334831444,4.506360571011901,0.6633930960430032
20,NNLS,3.4697747794949683,26.811186946942495,2.6061013758182527,0.908198363864728
30,Linear Regression,4.532315254266102,35.02150984055935,3.3476025390625,0.8433652672336788
30,XGBoost,6.425028537601567,49.64663478421769,4.284383072853088,0.6852266388302921
30,NNLS,4.160784619142919,32.15066722170389,3.0532522583007813,0.867992586961069
40,Linear Regression,4.500963230824385,34.7792506119119,3.475864791870117,0.8455247951568535
40,XGBoost,6.424221224357326,49.64039661958406,4.359775390625,0.6853057372301266
40,NNLS,4.253459302118149,32.866770833149,3.0314563548564912,0.862046598579521
50,Linear Regression,4.093567805433541,31.631278306610604,3.171753406524658,0.872223253334682
50,XGBoost,6.563050216926461,50.71313773679529,4.470819017887115,0.6715575341286314
50,NNLS,3.7691463573125716,29.124451596539487,2.772286033630371,0.8916737141908835
60,Linear Regression,3.699175508358044,28.583782062815693,2.757705020904541,0.8956583443654638
60,XGBoost,6.699982339083589,51.77122160664539,4.800855655670166,0.6577092481323564
60,NNLS,3.412302302887254,26.367093190846457,2.644423520863056,0.9112143357887741
70,Linear Regression,3.879319039793372,29.975763446488664,2.910619869232178,0.8852483746941794
70,NNLS,3.2996672945541907,25.49675478068955,2.514413471221924,0.9169789629768281
80,Linear Regression,4.098591525060487,31.670096931635793,3.2649983978271484,0.8719094398269083
80,NNLS,3.2127801175793698,24.82537162379685,2.502639338970184,0.9212936347730333
90,Linear Regression,4.03120108963657,31.149366429683884,3.2129994201660157,0.8760870275594462
90,NNLS,2.8227840489178915,21.811845337523756,2.252087925672531,0.9392420434700519
100,Linear Regression,3.538255973946787,27.340345818477342,2.791626091003418,0.9045389192778472
100,NNLS,3.3563911892940093,25.935064193512396,2.6295680522918703,0.9141000335341419
110,Linear Regression,3.5953569811198074,27.781569204854417,2.930101222991943,0.9014329213584593
110,NNLS,3.1219887168811162,24.12382026326447,2.5440066960453986,0.9256791774061294
120,Linear Regression,3.184828357396163,24.609386461821256,2.5661790657043455,0.9226571960813242
120,NNLS,2.952658696487481,22.81539561872194,2.347419946193695,0.9335225507117669
130,Linear Regression,3.1835426585002473,24.59945177855029,2.524961929321289,0.9227196292644214
130,NNLS,3.635475194990764,28.09156538628617,2.8324846136569977,0.8992209590584764
140,Linear Regression,3.433405637469455,26.530160099981586,2.8792387580871583,0.9101127525966706
140,NNLS,3.3314846166779755,25.742609404065437,2.5954919266700744,0.9153701689262479
150,Linear Regression,3.607575982787446,27.875986266143837,3.0099028396606444,0.9007618125384701
150,NNLS,3.765492373439374,29.09621701333127,2.971597146987915,0.8918836453528036
160,Linear Regression,3.5972845916705825,27.796463983369485,3.005905418395996,0.9013272017458294
160,NNLS,3.5963243217689387,27.789043912186578,2.7668697333335874,0.9013798747379711
170,Linear Regression,3.402197409920627,26.28901199202971,2.869690418243408,0.9117394013630093
170,NNLS,3.9867517065535436,30.80590300763182,3.0565215229988096,0.8788045746748392
180,Linear Regression,3.3962337630358284,26.242930484821002,2.9028140830993654,0.9120485508107896
180,NNLS,3.615122134268593,27.93429589456313,2.866934676170349,0.9003462151290319
190,Linear Regression,3.688288664390075,28.499658675150197,3.134294376373291,0.8962716052086683
190,NNLS,3.8061738906236284,29.41056587797748,2.8574312138557434,0.8895348971862697
200,Linear Regression,3.4367645903390933,26.556114958454263,2.885573215484619,0.9099367904474794
200,NNLS,3.2290207579401917,24.95086416222479,2.5186187648773193,0.9204959004194379
210,Linear Regression,3.2055500434403488,24.76950434661013,2.7263170433044435,0.921647479439483
210,NNLS,3.499949281801108,27.04434738926913,2.6762356862425802,0.9065947361644191
220,Linear Regression,3.4118934716546767,26.363934123960863,2.9166105461120604,0.9112356095065415
220,NNLS,3.436464911068357,26.553799316240443,2.6164965665340425,0.9099524964404317
230,Linear Regression,3.4929157890380003,26.989999109814207,2.9841533279418946,0.9069697731013568
230,NNLS,3.4823622527289597,26.908451213217234,2.761637945175171,0.9075310890499051
240,Linear Regression,3.5269833321319237,27.253241344472194,2.994393005371094,0.9051462152959343
240,NNLS,2.8478757441540172,22.00573058211286,2.151535089015961,0.9381570891675585
250,Linear Regression,3.626694466631519,28.02371609792276,3.127521457672119,0.8997071924524651
250,NNLS,2.824619204072217,21.826025706869352,2.0951151871681213,0.939163017572517
all,Linear Regression,4.129334960889771,31.90765356219331,3.4743894958496093,0.8699806244746806
all,XGBoost,6.483489931365937,50.098369970794685,4.69739146232605,0.6794723267066602
all,NNLS,3.887663956992547,30.04024519222214,3.1494848942756652,0.884754152509907
