n_features,method,rmse,percent_rmse,mae,r2
20,Linear Regression,409.5187244472365,32.88990012587032,315.8705737304688,0.8618523644055558
20,XGBoost,550.2768125055031,44.19468103520168,366.2569256591797,0.750564447346739
20,NNLS,306.4797355865474,24.61447375245337,239.31955459594727,0.9226252146411607
30,Linear Regression,397.31957047470695,31.91014283560677,298.98784912109375,0.8699603346172067
30,XGBoost,551.8848314235141,44.32382673344852,350.6796376037598,0.7491045161945518
30,NNLS,309.85342064820003,24.8854263563512,240.32168045043946,0.9209123777885146
40,Linear Regression,369.8204819909174,29.701593580612105,276.2519677734375,0.8873378981527444
40,XGBoost,579.4758454602771,46.53975885539363,391.92425186157226,0.7233908104000177
40,NNLS,317.9850939337662,25.538509857183744,228.43531593322754,0.9167068180749277
50,Linear Regression,349.60669174213166,28.078152446521752,261.62971435546876,0.8993171727781102
50,XGBoost,579.8134392293248,46.56687220744385,384.1272082519531,0.7230684199468846
50,NNLS,298.3313693002315,23.96004957756935,212.32599945068358,0.9266848425409225
60,Linear Regression,336.4528718990676,27.021722556787108,263.09405517578125,0.9067509516943579
60,XGBoost,594.6593182761936,47.759197368622594,380.56774642944333,0.7087054320613644
60,NNLS,285.4160283268375,22.92277277104516,212.87357055664063,0.932895345349037
70,Linear Regression,339.2577467513394,27.246991996862906,261.5836279296875,0.9051897099272564
70,XGBoost,595.4779450323174,47.824944184682394,408.4309715270996,0.7079028694621734
70,NNLS,283.3481170490837,22.756691487493878,215.1045412826538,0.9338642031519275
80,Linear Regression,340.709878713288,27.36361786119314,265.07084716796874,0.9043763359965057
80,XGBoost,605.4280062502861,48.62406886487135,393.9285311889648,0.6980597970856488
80,NNLS,295.66609910916054,23.74599228260413,231.2224493408203,0.9279889751815155
90,Linear Regression,337.9760323240303,27.14405296871228,267.05170166015625,0.9059047424787621
90,XGBoost,603.463765226901,48.46631370686369,407.13184730529787,0.700015838867594
90,NNLS,271.5836091334048,21.81184216247469,216.67620010375975,0.9392420601490084
100,Linear Regression,322.20929554422935,25.87777045941189,250.7841162109375,0.9144791400012098
100,XGBoost,577.7199925704524,46.39874008693559,386.1688688087463,0.7250645616655885
100,NNLS,283.1986458768881,22.74468692791764,229.17508331298828,0.9339339603666288
110,Linear Regression,327.03460208334684,26.26530792882187,257.8299560546875,0.9118984923442773
110,XGBoost,597.467697642671,47.98474826865451,390.9076495742798,0.7059475592566151
110,NNLS,295.52694909757554,23.734816652015514,239.47107672691345,0.9280567406576479
120,Linear Regression,301.1494955620286,24.186383285308136,242.60189208984374,0.9252931871669864
120,XGBoost,593.8915839323722,47.69753790256138,376.7669315290451,0.7094570976757408
120,NNLS,281.3361089429085,22.595099985777154,224.03856204986573,0.934800107168338
130,Linear Regression,303.2622794015647,24.35606844332793,241.27527099609375,0.9242412642623344
130,XGBoost,640.4818488627576,51.4393671985638,412.03881103515624,0.6620833574099347
130,NNLS,289.04848643787733,23.214508355650647,239.6810479927063,0.9311764091774821
140,Linear Regression,319.0747813916297,25.626026518860005,265.2659643554687,0.9161349733315801
140,XGBoost,621.5011034518362,49.91495626540705,411.1660808181763,0.681814974588013
140,NNLS,261.2098062150597,20.978685284555684,206.70231689453124,0.9437950089916856
150,Linear Regression,323.88447391051085,26.01230997096753,265.9099560546875,0.9135875759736207
150,XGBoost,647.0955214873139,51.970534686400825,470.2828747558594,0.6550686112900612
150,NNLS,291.2421171383015,23.390686611595793,227.28591701507568,0.9301278209380952
160,Linear Regression,329.3592459687735,26.452008317975256,269.1239599609375,0.9106415456415512
160,XGBoost,606.8182091795769,48.735720989107634,398.1729960632324,0.6966715557714163
160,NNLS,297.807581778777,23.91798234537852,225.31726837158203,0.9269420588935156
170,Linear Regression,320.63855561082516,25.751618768538385,268.26038330078126,0.9153109198799414
170,XGBoost,657.2934983533797,52.78957035092038,461.8520269775391,0.6441109698431482
170,NNLS,297.3868889304059,23.88419501175838,223.84311569213867,0.9271483212361363
180,Linear Regression,324.0233729518111,26.023465445243122,277.4977880859375,0.9135134435128156
180,XGBoost,631.2034084949302,50.694182769125085,451.9936828613281,0.6718030056121045
180,NNLS,288.5180925735429,23.171910544649744,224.26489822387694,0.9314287552064755
190,Linear Regression,338.11775490214,27.15543521123587,288.65215576171875,0.9058258125123649
190,XGBoost,642.9402440596293,51.636809629564176,429.31215255737305,0.6594842924247288
190,NNLS,295.729987404576,23.751123378033924,233.51321563720703,0.9279578511622107
200,Linear Regression,325.71794825468373,26.159562793520607,270.92002197265623,0.9126064643939853
200,XGBoost,646.4533290067851,51.91895793231055,467.75429077148436,0.6557529072550408
200,NNLS,280.1350393732241,22.49863783195388,221.4475390625,0.9353556167280644
210,Linear Regression,308.266853452063,24.7580035219146,262.1917993164063,0.9217202215728044
210,XGBoost,632.9894606265466,50.837626945719826,460.29964233398437,0.6699430465048706
210,NNLS,273.8455452974737,21.993506272284897,218.0892091369629,0.9382257772421112
220,Linear Regression,328.1268472202004,26.353030006762435,280.507109375,0.9113090187121131
220,XGBoost,617.1570212591595,49.56606762875542,449.854072265625,0.686247440640824
220,NNLS,278.6726485126601,22.381188039117525,217.02680358886718,0.9360287820965525
230,Linear Regression,335.92908212429455,26.979655143624274,287.0118310546875,0.9070410658992188
230,XGBoost,616.0084891930306,49.4738249480396,406.9113360595703,0.6874141439328845
230,NNLS,290.4021097704454,23.323222642833255,229.5585694885254,0.9305302936554393
240,Linear Regression,341.03933917577194,27.39007799856817,288.56662109375,0.904191313779376
240,XGBoost,624.1266014930706,50.12581931806337,458.7958984375,0.679120985163992
240,NNLS,274.4675971741804,22.04346546310239,209.87037994384767,0.9379448129110349
250,Linear Regression,342.8573575286667,27.53608949568449,289.7216162109375,0.903167113953048
250,XGBoost,622.271577818315,49.976835792398724,410.7754857635498,0.6810255781967764
250,NNLS,247.18654274847796,19.852427296041984,190.85376205444337,0.9496678392041391
260,Linear Regression,350.99648839945974,28.189771941616854,293.99138671875,0.8985150898073583
260,XGBoost,645.5404241516953,51.84563930799404,466.0199072265625,0.6567244946221107
260,NNLS,280.6966318587042,22.54374131478928,225.45361688613892,0.9350961690742248
270,Linear Regression,347.67271500017637,27.922827920214633,284.45660400390625,0.9004280191852332
270,XGBoost,640.6094982783943,51.44961917553283,444.8712109375,0.6619486489541908
270,NNLS,289.92022779124153,23.284520993257,236.0979838180542,0.9307606530358303
280,Linear Regression,344.5922391865932,27.675423990185138,277.2080078125,0.902184672574841
280,XGBoost,616.7320189472066,49.531934186841966,406.3712885284424,0.6866794203303233
280,NNLS,294.9849767608385,23.69128893286097,234.38292419433594,0.9283203748412928
290,Linear Regression,353.5942586496566,28.398408077105547,292.2386181640625,0.897007324996753
290,XGBoost,598.1350071677382,48.03834226160838,436.5451086425781,0.7052903402093285
290,NNLS,302.562241279308,24.299845900741136,240.42881378173828,0.9245906172544938
300,Linear Regression,349.90761445380247,28.10232061598902,284.0323974609375,0.899143773415672
300,XGBoost,620.1301249758111,49.80484812514546,452.3778985595703,0.6832172043875122
300,NNLS,315.1800100887369,25.3132236321589,252.11829208374024,0.9181698666552421
